1, 3.57990414619445800781e+02, 3.70223448276519775391e+02, 3.37703582525253295898e+02, 3.30430023193359375000e+02, 3.40006741285324096680e+02, 3.34482930898666381836e+02, 3.31758257389068603516e+02, 3.28926763534545898438e+02, 3.29281983137130737305e+02, 3.43089635133743286133e+02
2, 2.23259103059768676758e+02, 2.24125174283981323242e+02, 2.26559804201126098633e+02, 2.28502210378646850586e+02, 2.31621753215789794922e+02, 2.25915447711944580078e+02, 2.26981936454772949219e+02, 2.27482090234756469727e+02, 2.27798778772354125977e+02, 2.26869946002960205078e+02
3, 1.68490081548690795898e+02, 1.66923543453216552734e+02, 1.65243655920028686523e+02, 1.67677553892135620117e+02, 1.66412227869033813477e+02, 1.65821180820465087891e+02, 1.67509468078613281250e+02, 1.66766566038131713867e+02, 1.68471224546432495117e+02, 1.68319265365600585938e+02
4, 1.37756329536437988281e+02, 1.35900065898895263672e+02, 1.35349901914596557617e+02, 1.36695729255676269531e+02, 1.35983191013336181641e+02, 1.36609674930572509766e+02, 1.36306694269180297852e+02, 1.36258401155471801758e+02, 1.39880968093872070312e+02, 1.39485568284988403320e+02
5, 1.21759076833724975586e+02, 1.23376064062118530273e+02, 1.24200367212295532227e+02, 1.26321595191955566406e+02, 1.23835805892944335938e+02, 1.23782562017440795898e+02, 1.24836654663085937500e+02, 1.19947212219238281250e+02, 1.19872762680053710938e+02, 1.20266363143920898438e+02
6, 1.10227556467056274414e+02, 1.09184649229049682617e+02, 1.10649093389511108398e+02, 1.09773216009140014648e+02, 1.09731883287429809570e+02, 1.09850601911544799805e+02, 1.07917663097381591797e+02, 1.08486960411071777344e+02, 1.08521740198135375977e+02, 1.06077240467071533203e+02
7, 9.86206989288330078125e+01, 9.76389565467834472656e+01, 9.71323158740997314453e+01, 9.74603488445281982422e+01, 9.98853409290313720703e+01, 1.00378340959548950195e+02, 9.79109644889831542969e+01, 9.76412703990936279297e+01, 9.82342610359191894531e+01, 9.72384514808654785156e+01
8, 9.19069893360137939453e+01, 8.95362019538879394531e+01, 8.99220743179321289062e+01, 8.99255039691925048828e+01, 8.97421431541442871094e+01, 8.94560391902923583984e+01, 8.97666642665863037109e+01, 8.94216380119323730469e+01, 8.99716629981994628906e+01, 8.94101483821868896484e+01
9, 8.11707992553710937500e+01, 8.12239758968353271484e+01, 8.13559780120849609375e+01, 8.21158604621887207031e+01, 8.16565518379211425781e+01, 8.19214692115783691406e+01, 8.18955371379852294922e+01, 8.14592700004577636719e+01, 8.22610971927642822266e+01, 8.30677912235260009766e+01
10, 7.67392036914825439453e+01, 7.70489659309387207031e+01, 7.66777188777923583984e+01, 7.78061494827270507812e+01, 7.79136331081390380859e+01, 7.57281589508056640625e+01, 7.59987988471984863281e+01, 7.71813087463378906250e+01, 7.66100823879241943359e+01, 7.57077269554138183594e+01
11, 6.99942290782928466797e+01, 7.08649551868438720703e+01, 7.50070612430572509766e+01, 7.49210207462310791016e+01, 7.50630605220794677734e+01, 7.69831447601318359375e+01, 7.61289098262786865234e+01, 7.43566658496856689453e+01, 7.51540277004241943359e+01, 7.20340011119842529297e+01
12, 6.78262519836425781250e+01, 6.76730642318725585938e+01, 6.82645609378814697266e+01, 6.77395968437194824219e+01, 6.84754731655120849609e+01, 6.72664072513580322266e+01, 6.80712957382202148438e+01, 6.87273299694061279297e+01, 6.96974022388458251953e+01, 6.92764604091644287109e+01
13, 6.64990804195404052734e+01, 6.76398239135742187500e+01, 6.63440310955047607422e+01, 6.73417501449584960938e+01, 6.96107223033905029297e+01, 6.68725776672363281250e+01, 7.16426293849945068359e+01, 6.61039493083953857422e+01, 6.75995271205902099609e+01, 6.67852313518524169922e+01
14, 6.82485890388488769531e+01, 6.77512652873992919922e+01, 6.96360039710998535156e+01, 6.53140416145324707031e+01, 6.07398400306701660156e+01, 6.12898912429809570312e+01, 6.05310416221618652344e+01, 6.06590564250946044922e+01, 6.05975687503814697266e+01, 6.08240678310394287109e+01
15, 5.77330100536346435547e+01, 5.81865518093109130859e+01, 5.97855448722839355469e+01, 6.07510509490966796875e+01, 6.04118719100952148438e+01, 6.19131443500518798828e+01, 6.15271749496459960938e+01, 6.16408243179321289062e+01, 6.04676878452301025391e+01, 6.06033186912536621094e+01
16, 6.37760448455810546875e+01, 6.49655206203460693359e+01, 6.72268037796020507812e+01, 6.79953007698059082031e+01, 6.81688048839569091797e+01, 6.74888801574707031250e+01, 6.77363636493682861328e+01, 6.64522678852081298828e+01, 6.51827547550201416016e+01, 6.53211281299591064453e+01
